Page;No;Product Name;Rating;Total Reviews;Price
1;1;HP 14 inch Laptop 14s-dq5227TU, Silver;4.2;942;8049000
1;2;HP 14 inch Laptop 14s-dq5156TU, Silver;4.2;942;8449000
1;3;HP 14 inch Laptop 14s-dq5567TU, Silver;4.2;942;5949000
1;4;HP 14 inch Laptop 14-em0019AU, Gold;4.3;194;7899000
1;5;HP 14 inch Laptop 14-em0018AU, Silver;4.3;194;7899000
1;6;HP 14 inch Laptop 14s-dq5227TU, Silver + HP P24v G5 FHD MNTR INDO;4.2;942;9979000
1;7;HP 15.6 inch Laptop 15-fd0031TX, Silver;4.4;676;9999000
1;8;HP 14 inch Laptop 14s-dq5155TU, Silver;4.2;942;10249000
1;9;HP 14 inch Laptop 14s-dq5155TU, Silver + POLY BW 3220 USB-C HS USB-C/A;4.2;942;11024000
1;10;HP Pavilion Aero 13.3 inch Laptop 13-bg0222AU, Blue + HP Smart Tank 585 Wi Fi All-in-One Printer;4.3;56;15599000
1;11;HP Envy x360 14 inch 2-in-1 Laptop 14-fc0777TU, Silver + HP Smart Tank 585 Wi Fi All-in-One Printer;4.3;131;22699000
1;12;HP Pavilion x360 14 inch 2-in-1 Laptop 14-ek2111TU, Silver;4.3;541;12049000
1;13;HP 14 inch Laptop 14-em0333AU, Silver;4.3;194;6249000
1;14;HP Victus 16.1 inch Gaming Laptop 16-r0888TX, Silver;4.5;122;18859000
1;15;HP 14 inch Laptop 14-em0332AU, Gold;4.3;194;6249000
