No;Brand;Device Name;Product URL;Estimated_Price;Popularity_Fans;Battery_Charging;Battery_Type;Body_;Body_Build;Body_Dimensions;Body_SIM;Body_Weight;Comms_Bluetooth;Comms_Infraredport;Comms_NFC;Comms_Positioning;Comms_Radio;Comms_USB;Comms_WLAN;Display_;Display_Protection;Display_Resolution;Display_Size;Display_Type;Features_;Features_Sensors;Launch_Announced;Launch_Status;MainCamera_Dual;MainCamera_Features;MainCamera_Quad;MainCamera_Single;MainCamera_Triple;MainCamera_Video;Memory_;Memory_Cardslot;Memory_Internal;Misc_Colors;Misc_Models;Misc_Price;Misc_SAR;Misc_SAREU;Network_;Network_2Gbands;Network_3Gbands;Network_4Gbands;Network_5Gbands;Network_Speed;Network_Technology;Platform_CPU;Platform_Chipset;Platform_GPU;Platform_OS;Selfiecamera_Features;Selfiecamera_Single;Selfiecamera_Video;Sound_;Sound_35mmjack;Sound_Loudspeaker;Tests_Audioquality;Tests_Batterynew;Tests_Batteryold;Tests_Camera;Tests_Display;Tests_Loudspeaker;Tests_Performance
1;Realme;Realme 11 Pro;https://www.gsmarena.com/realme_11_pro-12261.php;N/A;N/A;67W wired;5000 mAh;N/A;Glass front, leather or plastic back, plastic frame;161.7 x 73.9 x 8.2 mm or 8.8 mm;Nano-SIM + Nano-SIM;183 g or 189 g (6.46 oz);5.2, A2DP, LE, aptX HD;N/A;Yes (market/region dependent);GPS, GALILEO, GLONASS, BDS, QZSS;No;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;N/A;N/A;1080 x 2412 pixels, 20:9 ratio (~394 ppi density);6.7 inches, 108.0 cm2 (~90.4% screen-to-body ratio);AMOLED, 1B colors, HDR10+, 120Hz, 950 nits (peak);N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2023, May 10;Available. Released 2023, May 15;"100 MP, f/1.8, 26mm (wide), PDAF, OIS
2 MP, f/2.4, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;4K@30fps, 1080p@30/60/120/480fps, 720p@960fps, gyro-EIS;N/A;No;128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Astral Black, Sunrise Beige, Oasis Green;RMX3771;$ 192.82 / £ 156.14 / ₹ 21,998;N/A;N/A;1, 5, 8, 28, 41, 77, 78 SA/NSA - China;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 28, 40, 41 - International;1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA - International;HSPA, LTE, 5G;GSM / CDMA / HSPA / CDMA2000 / LTE / 5G;Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 7050 (6 nm);Mali-G68 MC4;Android 13, up to 2 major Android upgrades, Realme UI 5.0;Panorama;16 MP, f/2.5, 25mm (wide);1080p@30fps;24-bit/192kHz Hi-Res audio;No;Yes, with stereo speakers;N/A;Active use score 13:14h;Endurance rating 112h;Photo / Video;790 nits max brightness (measured);-26.5 LUFS (Good);"AnTuTu: 545426 (v9), 585966 (v10)
GeekBench: 2319 (v5.5), 2376 (v6.0)
GFXBench: 22fps (ES 3.1 onscreen)"
2;Realme;Realme C51;https://www.gsmarena.com/realme_c51-12527.php;N/A;N/A;33W wired, 0-50% in 28 min;5000 mAh;N/A;Glass front, plastic frame, plastic back;167.2 x 76.7 x 8 mm (6.58 x 3.02 x 0.31 in);Nano-SIM + Nano-SIM;186 g (6.56 oz);5.0, A2DP, LE;N/A;Yes, 360˚ (market/region dependent);GPS, GLONASS, GALILEO;Unspecified;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;720 x 1600 pixels, 20:9 ratio (~260 ppi density);6.74 inches, 109.7 cm2 (~85.5% screen-to-body ratio);IPS LCD, 90Hz, 560 nits (peak);N/A;Fingerprint (side-mounted), accelerometer, proximity, compass;2023, July 24;Available. Released 2023, August;N/A;LED flash, HDR, panorama;N/A;"50 MP, f/1.8, 27mm (wide), 1/2.76"", 0.64µm, PDAF
0.08 MP, f/3.0 ,(auxiliary lens)";N/A;1080p@30fps;еMMC 5.1;microSDXC (dedicated slot);64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM, 256GB 6GB RAM;Mint Green, Carbon Black;RMX3830;$ 409.00 / € 101.41;1.18 W/kg (head)     0.78 W/kg (body);N/A;1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - Asia;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 38, 40, 41 - Africa, India;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Unisoc Tiger T612 (12 nm);Mali-G57;Android 13, Realme UI T;HDR;"5 MP, f/2.2, 28mm (wide), 1/5.0"", 1.12µm";720p@30fps;N/A;Yes;Yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3;Realme;Realme P1;https://www.gsmarena.com/realme_p1-12936.php;N/A;N/A;45W wired, 50% in 27 min;Li-Ion 5000 mAh;IP54 dust protected and water resistant (water splashes);N/A;163 x 75.5 x 8 mm (6.42 x 2.97 x 0.31 in);Nano-SIM + Nano-SIM;188 g (6.63 oz);5.2, A2DP, LE;N/A;No;GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;1080 x 2400 pixels, 20:9 ratio (~395 ppi density);6.67 inches, 107.4 cm2 (~87.3% screen-to-body ratio);AMOLED, 120Hz, 600 nits (HBM), 1200 nits (peak);N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2024, April 15;Available. Released 2024, April 15;"50 MP, f/1.8, 27mm (wide), 1/2.76"", 0.64µm, PDAF
2 MP, f/2.4, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30/60/120/480fps, 720p@960fps, gyro-EIS;UFS 3.1;No;128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM;Phoenix Red, Peacock Green;RMX3870;₹ 14,799;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 28, 40, 41;1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 7050 (6 nm);Mali-G68 MC4;Android 14, Realme UI 5.0;N/A;"16 MP, f/2.5, 24mm (wide), 1/3.0"", 1.0µm";1080p@30fps;24-bit/192kHz Hi-Res audio;Yes;Yes, with stereo speakers;N/A;N/A;N/A;N/A;N/A;N/A;N/A
4;Realme;Realme C11;https://www.gsmarena.com/realme_c11-10308.php;N/A;N/A;10W wired;5000 mAh;N/A;N/A;164.4 x 75.9 x 9.1 mm (6.47 x 2.99 x 0.36 in);Nano-SIM + Nano-SIM;196 g (6.91 oz);5.0, A2DP, LE, aptX;N/A;No;GPS, GLONASS, BDS;FM radio;microUSB 2.0, OTG;Wi-Fi 802.11 b/g/n;N/A;N/A;720 x 1560 pixels, 19.5:9 ratio (~264 ppi density);6.5 inches, 103.7 cm2 (~83.1% screen-to-body ratio);IPS LCD;N/A;Accelerometer, proximity, compass;2020, June 30;Available. Released 2020, July 07;"13 MP, f/2.2, (wide), PDAF
2 MP, f/2.4, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30fps;eMMC 5.1;microSDXC (dedicated slot);32GB 2GB RAM, 32GB 3GB RAM;Mint Green, Pepper Grey;RMX2185;$ 365.00 / € 89.99 / ₹ 8,550;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - International;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);Mediatek MT6765G Helio G35 (12 nm);PowerVR GE8320;Android 10, Realme UI;HDR, panorama;5 MP, f/2.4, 27mm (wide);1080p@30fps;N/A;Yes;Yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A
5;Realme;Realme 14;https://www.gsmarena.com/realme_14-13729.php;N/A;N/A;"45W wired, 50% in 30 min
Bypass charging";Si/C Li-Ion 6000 mAh;"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 2.5m for 30 min)";N/A;163.1 x 75.7 x 8 mm (6.42 x 2.98 x 0.31 in);Nano-SIM + Nano-SIM + eSIM (max 2 at a time)Nano-SIM + Nano-SIM;196 g (6.91 oz);5.2, A2DP, LE;N/A;No;GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;N/A;N/A;1080 x 2400 pixels, 20:9 ratio (~395 ppi density);6.67 inches, 107.4 cm2 (~87.0% screen-to-body ratio);AMOLED, 120Hz, 2000 nits (peak);N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, March 27;Available. Released 2025, March 27;N/A;LED flash, HDR, panorama;N/A;50 MP, f/1.8, 27mm (wide), PDAF, OIS;N/A;4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS;N/A;microSDXC (uses shared SIM slot);256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Silver, Titanium, Pink;N/A;$ 485.83;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 40, 41, 66;1, 2, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 66, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (1x2.3 GHz Cortex-A720s & 3x2.2 GHz Cortex-A720s & 4x1.8 GHz Cortex-A520s);Qualcomm Snapdragon 6 Gen 4 (4 nm);Adreno 810;Android 15, Realme UI 6.0;Panorama;"16 MP, f/2.4, 24mm (wide), 1/3.0""";1080p@30fps;N/A;No;Yes, with stereo speakers;N/A;N/A;N/A;N/A;N/A;N/A;N/A
6;Realme;Realme P3 Ultra;https://www.gsmarena.com/realme_p3_ultra-13734.php;N/A;N/A;"80W wired, PD, 100% in 47 min
5W reverse wired
Bypass charging";Si/C Li-Ion 6000 mAh;"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 2m for 30 min)";N/A;163.1 x 76.9 x 7.4 mm (6.42 x 3.03 x 0.29 in);Nano-SIM + Nano-SIM;183 g or 186 g (6.46 oz);5.4, A2DP, LE, BLE Audio;Yes;Yes (market/region dependent);GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;HDR image support;Corning Gorilla Glass 7i;1272 x 2800 pixels (~450 ppi density);6.83 inches, 113.3 cm2 (~90.4% screen-to-body ratio);AMOLED, 1B colors, 120Hz, 600 nits (typ), 1200 nits (HBM), 1500 nits (peak);Circle to Search;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, March 19;Available. Released 2025, March 24;"50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm";Color spectrum sensor, LED flash, HDR, panorama;N/A;N/A;N/A;4K@30/60fps, 1080p@30/60/120fps, gyro-EIS, OIS;UFS 3.1;No;128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Neptune Blue, Orion Red, Glowing Lunar White;N/A;₹ 24,999;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 40, 41, 66;1, 2, 3, 5, 7, 8, 12, 20, 26, 28, 38, 40, 41, 66, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510);Mediatek Dimensity 8350 Ultra (4 nm);Mali G615-MC6;Android 15, Realme UI 6.0;N/A;"16 MP, f/2.4, 23mm (wide), 1/3.09"", 1.0µm";1080p@30/60fps, gyro-EIS;24-bit/192kHz Hi-Res audio;No;Yes, with stereo speakers;N/A;N/A;N/A;N/A;N/A;N/A;N/A
7;Realme;Realme 13+;https://www.gsmarena.com/realme_13+-13255.php;N/A;N/A;80W wired, 50% in 19 min;5000 mAh;IP65 dust tight and water resistant (low pressure water jets);N/A;161.7 x 74.7 x 7.6 mm (6.37 x 2.94 x 0.30 in);Nano-SIM + Nano-SIM;185 g (6.53 oz);5.4, A2DP, LE;N/A;Yes, 360˚ (market/region dependent);GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;HDR image support;N/A;1080 x 2400 pixels, 20:9 ratio (~395 ppi density);6.67 inches, 107.4 cm2 (~88.9% screen-to-body ratio);AMOLED, 120Hz, HDR10+, 600 nits (typ), 2000 nits (peak);N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2024, August 29;Available. Released 2024, September 06;N/A;LED flash, HDR, panorama;N/A;N/A;"50 MP, f/1.8, 26mm (wide), 1/1.95"", PDAF, OIS
2 MP, f/2.4, (depth)
Auxiliary lens (flicker sensor)";4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS;UFS 3.1;microSDXC (uses shared SIM slot);128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Victory Gold, Speed Green, Dark Purple;RMX5002, RMX5000;₹ 15,999;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 28, 40, 41;1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55);Mediatek Dimensity 7300 Energy (4 nm);Mali-G615 MC2;Android 14, Realme UI 5.0;N/A;"16 MP, f/2.4, 24mm (wide), 1/3.0""";1080p@30fps;N/A;Yes;Yes, with stereo speakers;N/A;N/A;N/A;N/A;N/A;N/A;N/A
8;Realme;Realme 14 Pro Lite;https://www.gsmarena.com/realme_14_pro_lite-13706.php;N/A;N/A;45W wired, 50% in 27 min;5200 mAh;"IP65 dust tight and water resistant (low pressure water jets)
1 hr submersion in 5cm of water";N/A;161.3 x 73.9 x 8.2 mm (6.35 x 2.91 x 0.32 in);Nano-SIM + Nano-SIM;188 g (6.63 oz);5.2, A2DP, LE;N/A;No;GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;HDR image support;Corning Gorilla Glass 7i;1080 x 2412 pixels, 20:9 ratio (~394 ppi density);6.7 inches, 108.0 cm2 (~90.6% screen-to-body ratio);AMOLED, 1B colors, 120Hz, 600 nits (typ), 1200 nits (HBM), 2000 nits (peak);N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, March 05;Available. Released 2025, March 05;"50 MP, f/1.9, 26mm (wide), 1/1.95"", 0.8µm, multi-directional PDAF, OIS
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm";LED flash, HDR, panorama;N/A;N/A;N/A;4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS;N/A;No;128GB 8GB RAM, 256GB 8GB RAM;Glass Gold, Glass Purple;N/A;₹ 19,390;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 28, 40, 41;1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (4x2.40 GHz Cortex-A78 & 4x1.95 GHz Cortex-A55);Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm);Adreno 710;Android 14, Realme UI 5.0;N/A;32 MP, f/2.5, 22mm (wide);4K@30fps, 1080p@30fps;24-bit/192kHz Hi-Res audio;No;Yes, with stereo speakers (Hi-Res audio);N/A;N/A;N/A;N/A;N/A;N/A;N/A
9;Realme;Realme GT 6;https://www.gsmarena.com/realme_gt_6-13103.php;N/A;N/A;120W wired, 50% in 10 min, 100% in 28 min;5500 mAh;IP65 dust tight and water resistant (low pressure water jets);Glass front (Gorilla Glass Victus 2), plastic frame, glass back;162 x 75.1 x 8.6 mm (6.38 x 2.96 x 0.34 in);Nano-SIM + Nano-SIM;199 g (7.02 oz);5.4, A2DP, LE, aptX HD, LHDC;Yes;Yes, 360˚;GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS;No;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;N/A;Corning Gorilla Glass Victus 2;1264 x 2780 pixels (~450 ppi density);6.78 inches, 111.7 cm2 (~91.8% screen-to-body ratio);LTPO AMOLED, 1B colors, 120Hz, HDR 10+, Dolby Vision, 1600 nits (HBM), 6000 nits (peak);N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2024, June 20;Available. Released 2024, June 25;N/A;Color spectrum sensor, Dual-LED flash, HDR, panorama;N/A;N/A;"50 MP, f/1.7, (wide), 1/1.4"", PDAF, OIS
50 MP, f/2.0, 47mm (telephoto), 1/2.8"", PDAF
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm";4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS;UFS 4.0;No;256GB 8GB RAM, 256GB 12GB RAM, 512GB 16GB RAM;Fluid Sliver, Razor Green;RMX3851;$ 1,029.00 / € 489.99 / £ 374.13;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66;1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (1x3.0 GHz Cortex-X4 & 4x2.8 GHz Cortex-A720 & 3x2.0 GHz Cortex-A520);Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm);Adreno 735;Android 14, up to 3 major Android upgrades, Realme UI 5.0;Panorama;"32 MP, f/2.5, 22mm (wide), 1/2.74""";4K@30fps, 1080p@30fps;24-bit/192kHz Hi-Res audio;No;Yes, with stereo speakers;N/A;Active use score 14:32h;N/A;N/A;Contrast ratio: Infinite (nominal);-24.5 LUFS (Very good);"AnTuTu: 1540147 (v10)
GeekBench: 5085 (v6)
3DMark: 3114 (Wild Life Extreme)"
10;Realme;Realme 9 Pro;https://www.gsmarena.com/realme_9_pro-11317.php;N/A;N/A;33W wired;5000 mAh;N/A;N/A;164.3 x 75.6 x 8.5 mm (6.47 x 2.98 x 0.33 in);Nano-SIM + Nano-SIM;195 g (6.88 oz);5.1, A2DP, LE, aptX HD;N/A;Yes (market/region dependent);GPS, GLONASS, BDS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;1080 x 2412 pixels, 20:9 ratio (~400 ppi density);6.6 inches, 104.8 cm2 (~84.4% screen-to-body ratio);IPS LCD, 120Hz;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2022, February 16;Available. Released 2022, February 23;N/A;LED flash, HDR, panorama;N/A;N/A;"64 MP, f/1.8, 26mm (wide), PDAF
8 MP, f/2.2, 119˚, 16mm (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)";1080p@30fps;UFS 2.2;microSDXC (uses shared SIM slot);128GB 6GB RAM, 128GB 8GB RAM;Midnight Black, Aurora Green, Sunrise Blue;RMX3471, RMX3472;$ 200.00 / € 193.53;1.19 W/kg (head)     0.71 W/kg (body);N/A;1, 28, 41, 77, 78 SA/NSA - India;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66 - International;1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA - International;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver);Qualcomm SM6375 Snapdragon 695 5G (6 nm);Adreno 619;Android 12, upgradable to Android 14, Realme UI 5.0;HDR, panorama;"16 MP, f/2.1, 26mm (wide), 1/3.09"", 1.0µm";1080p@30fps;24-bit/192kHz Hi-Res audio;Yes;Yes;N/A;N/A;Endurance rating 134h;Photo / Video;1601:1 contrast ratio, 567 nits max brightness (measured);-25.3 LUFS (Very good);"AnTuTu: 401894 (v9)
GeekBench: 2020 (v5.1)
GFXBench: 16fps (ES 3.1 onscreen)"
