No;Brand;Device Name;Product URL;Estimated_Price;Popularity_Fans;Battery_Charging;Battery_Type;Body_;Body_Build;Body_Dimensions;Body_SIM;Body_Weight;Comms_Bluetooth;Comms_Infraredport;Comms_NFC;Comms_Positioning;Comms_Radio;Comms_USB;Comms_WLAN;Display_;Display_Protection;Display_Resolution;Display_Size;Display_Type;Features_;Features_Sensors;Launch_Announced;Launch_Status;MainCamera_Dual;MainCamera_Features;MainCamera_Quad;MainCamera_Single;MainCamera_Triple;MainCamera_Video;Memory_;Memory_Cardslot;Memory_Internal;Misc_Colors;Misc_Models;Misc_Price;Misc_SAR;Misc_SAREU;Network_;Network_2Gbands;Network_3Gbands;Network_4Gbands;Network_5Gbands;Network_Speed;Network_Technology;Platform_CPU;Platform_Chipset;Platform_GPU;Platform_OS;Selfiecamera_Features;Selfiecamera_Single;Selfiecamera_Video;Sound_;Sound_35mmjack;Sound_Loudspeaker;Tests_Audioquality;Tests_Batterynew;Tests_Batteryold;Tests_Camera;Tests_Display;Tests_Loudspeaker;Tests_Performance
1;Xiaomi;Xiaomi Poco X6 Pro;https://www.gsmarena.com/xiaomi_poco_x6_pro-12717.php;N/A;N/A;67W wired, QC2.0, PD3.0, 100% in 45 min;5000 mAh;IP54 dust protected and water resistant (water splashes);Glass front (Gorilla Glass 5), plastic frame, plastic back or silicone polymer back (eco leather);160.5 x 74.3 x 8.3 mm (6.32 x 2.93 x 0.33 in);Nano-SIM + Nano-SIM;186 g or 190 g (6.56 oz);5.4, A2DP, LE, aptX HD;Yes;Yes (market/region dependent);GPS, GALILEO, GLONASS, QZSS, BDS (B1I+B1c);No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass 5;1220 x 2712 pixels, 20:9 ratio (~446 ppi density);6.67 inches, 107.4 cm2 (~90.1% screen-to-body ratio);AMOLED, 68B colors, 120Hz, 1920Hz PWM, HDR10+, Dolby Vision, 500 nits (typ), 1200 nits (HBM), 1800 nits (peak);Virtual proximity sensing;Fingerprint (under display, optical), accelerometer, gyro, compass;2024, January 11;Available. Released 2024, January 12;N/A;LED flash, HDR, panorama;N/A;N/A;"64 MP, f/1.7, 25mm (wide), 1/2.0"", 0.7µm, PDAF, OIS
8 MP, f/2.2, 120˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)";4K@24/30fps, 1080p@30/60fps, gyro-EIS;UFS 4.0;No;256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Black, Yellow, Gray;2311DRK48G, 2311DRK48I;$ 254.45 / € 208.80 / £ 269.00 / ₹ 19,999;N/A;0.99 W/kg (head)     1.00 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 28, 38, 40, 41, 48, 66;1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41, 48, 77, 78 SA/NSA/Sub6;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510);Mediatek Dimensity 8300 Ultra (4 nm);Mali G615-MC6;Android 14, up to 3 major Android upgrades, HyperOS;HDR, panorama;"16 MP, f/2.4, (wide), 1/3.06"", 1.0µm";1080p@30/60fps;24-bit/192kHz Hi-Res & Hi-Res Wireless audio;No;Yes, with dual speakers;N/A;Active use score 11:46h;N/A;Photo / Video;1148 nits max brightness (measured);-24.3 LUFS (Very good);"AnTuTu: 1396547 (v10)
GeekBench: 4696 (v6)"
2;Xiaomi;Xiaomi Redmi Note 9 Pro;https://www.gsmarena.com/xiaomi_redmi_note_9_pro-10217.php;N/A;N/A;30W wired;Li-Po 5020 mAh;N/A;Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), plastic frame;165.8 x 76.7 x 8.8 mm (6.53 x 3.02 x 0.35 in);Nano-SIM + Nano-SIM;209 g (7.37 oz);5.0, A2DP, LE;Yes;Yes;GPS, GLONASS, GALILEO, BDS;FM radio, recording;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass 5;1080 x 2400 pixels, 20:9 ratio (~395 ppi density);6.67 inches, 107.4 cm2 (~84.5% screen-to-body ratio);IPS LCD;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2020, April 30;Available. Released 2020, May 05;N/A;LED flash, HDR, panorama;"64 MP, f/1.9, 26mm (wide), 1/1.72"", 0.8µm, PDAF
8 MP, f/2.2, 119˚ (ultrawide), 1/4.0"", 1.12µm
5 MP, f/2.4, (macro), AF
2 MP, f/2.4, (depth)";N/A;N/A;4K@30fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS;UFS 2.1;microSDXC (dedicated slot);64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM;Tropical Green, Glacier White, Interstellar Gray;M2003J6B2G;€ 80.94 / £ 200.00;0.87 W/kg (head)     0.71 W/kg (body);0.66 W/kg (head)     1.02 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver);Qualcomm SM7125 Snapdragon 720G (8 nm);Adreno 618;Android 10, MIUI 11;HDR, panorama;"16 MP, f/2.5, (wide), 1/3.06"", 1.0µm";1080p@30/120fps;N/A;Yes;Yes;N/A;N/A;Endurance rating 123h;Photo / Video;Contrast ratio: 1285:1 (nominal);-28.6 LUFS (Average);"AnTuTu: 279625 (v8)
GeekBench: 1785 (v5.1)
GFXBench: 15fps (ES 3.1 onscreen)"
3;Xiaomi;Xiaomi Redmi K80;https://www.gsmarena.com/xiaomi_redmi_k80-13525.php;N/A;N/A;90W wired, PD3.0, QC3+;Si/C Li-Ion 6550 mAh;IP68 dust tight and water resistant (immersible up to 2.5m for 30 min);N/A;160.3 x 75 x 8.1 mm (6.31 x 2.95 x 0.32 in);Nano-SIM + Nano-SIM;206 g (7.27 oz);5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless, LHDC 5;Yes;Yes;GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5);No;USB Type-C, OTG;Wi-Fi 802.11 a/b/g/n/ac/6e/7, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass 7i;1440 x 3200 pixels, 20:9 ratio (~526 ppi density);6.67 inches, 107.4 cm2 (~89.3% screen-to-body ratio);OLED, 68B colors, 120Hz, Dolby Vision, HDR10+, 1800 nits (HBM), 3200 nits (peak);N/A;Fingerprint (under display, ultrasonic), accelerometer, proximity, gyro, compass;2024, November 27;Available. Released 2024, November 27;"50 MP, f/1.6, 24mm (wide), 1/1.55"", 1.0µm, dual pixel PDAF, OIS
8 MP, (ultrawide)";Color spectrum sensor, LED flash, HDR, panorama;N/A;N/A;N/A;8K@24fps, 4K@24/30/60fps, 1080p@30/60/120/240/960fps, 720p@1920fps, gyro-EIS;UFS 4.0;No;256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM;Black, White, Mint, Blue;24117RK2CC;About 350 EUR;N/A;N/A;CDMA2000 1x;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 2100;1, 3, 4, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41, 42, 48, 66;1, 3, 5, 7, 8, 26, 28, 38, 40, 41, 48, 66, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / CDMA / HSPA / CDMA2000 / LTE / 5G;Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520);Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm);Adreno 750;Android 15, HyperOS 2;HDR;20 MP, (wide);1080p@30/60fps, gyro-EIS;"24-bit/192kHz Hi-Res & Hi-Res Wireless audio
Snapdragon Sound";No;Yes, with stereo speakers;N/A;N/A;N/A;N/A;N/A;N/A;N/A
4;Xiaomi;Xiaomi Redmi Note 12;https://www.gsmarena.com/xiaomi_redmi_note_12-12063.php;N/A;N/A;33W wired, 50% in 22 min;Li-Po 5000 mAh;"IP53 dust protected and water resistant
(vertical water sprays)";N/A;165.9 x 76.2 x 8 mm (6.53 x 3.00 x 0.31 in);Nano-SIM + Nano-SIM;188 g (6.63 oz);5.1, A2DP, LE;Yes;Yes (market/region dependent);GPS, GLONASS;Unspecified;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;Corning Gorilla Glass 3;1080 x 2400 pixels, 20:9 ratio (~395 ppi density);6.67 inches, 107.4 cm2 (~85.0% screen-to-body ratio);AMOLED, 120Hz, 1200 nits (peak);N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2022, October 27;Available. Released 2023, January 11;N/A;Dual-LED dual-tone flash, HDR, panorama;N/A;N/A;"48 MP, f/1.8, (wide), PDAF
8 MP, f/2.2, 120˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)";1080p@30fps;UFS 2.2;microSDXC (uses shared SIM slot);128GB 4GB RAM, 128GB 6GB RAM, 256GB 8GB RAM;Frosted Green, Matte Black, Mystique Blue;22111317I, 22111317G;$ 150.00 / € 151.99 / ₹ 13,490;1.09 W/kg (head)     1.05 W/kg (body);0.68 W/kg (head)     0.91 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 40, 41;1, 3, 5, 8, 28, 40, 78 SA/NSA;HSPA, LTE (CA), 5G;GSM / HSPA / LTE / 5G;Octa-core (2x2.0 GHz Cortex-A78 & 6x1.8 GHz Cortex-A55);Qualcomm SM4375 Snapdragon 4 Gen 1 (6 nm);Adreno 619;Android 12, MIUI 14 (International), MIUI 13 (India);HDR;"13 MP, f/2.5, (wide), 1/3.0""";1080p@30fps;24-bit/192kHz Hi-Res audio;Yes;Yes;N/A;Active use score 10:58h;Endurance rating 101h;Photo / Video;706 nits max brightness (measured);-28.0 LUFS (Good);"AnTuTu: 360745 (v9)
GeekBench: 1998	(v5.1), 2017 (v6)"
5;Xiaomi;Xiaomi Redmi Note 11;https://www.gsmarena.com/xiaomi_redmi_note_11-11336.php;N/A;N/A;33W wired, PD3.0, QC3, 100% in 60 min;Li-Po 5000 mAh;"IP53 dust protected and water resistant
(vertical water sprays)";N/A;159.9 x 73.9 x 8.1 mm (6.30 x 2.91 x 0.32 in);Nano-SIM + Nano-SIM;179 g (6.31 oz);5.0, A2DP, LE;Yes;Yes (market/region dependent);GPS, GLONASS, BDS, GALILEO;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass 3;1080 x 2400 pixels, 20:9 ratio (~409 ppi density);6.43 inches, 99.8 cm2 (~84.5% screen-to-body ratio);AMOLED, 90Hz, 700 nits, 1000 nits (peak);Virtual proximity sensing;Fingerprint (side-mounted), accelerometer, gyro, compass;2022, January 26;Available. Released 2022, February 09;N/A;LED flash, HDR, panorama;"50 MP, f/1.8, 26mm (wide), 1/2.76"", 0.64µm, PDAF
8 MP, f/2.2, 118˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)";N/A;N/A;1080p@30fps;UFS 2.2;microSDXC (dedicated slot);64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM;Graphite Gray, Twilight Blue, Star Blue;2201117TG, 2201117TI, 2201117TY, 2201117TL;$ 204.99 / € 102.69 / £ 107.85 / ₹ 11,690;0.97 W/kg (head)     0.93 W/kg (body);0.60 W/kg (head)     0.99 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41;N/A;HSPA, LTE (CA);GSM / HSPA / LTE;Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver);Qualcomm SM6225 Snapdragon 680 4G (6 nm);Adreno 610;Android 11, upgradable to Android 13, MIUI 14;N/A;"13 MP, f/2.4, (wide), 1/3.1"", 1.12µm";1080p@30fps;24-bit/192kHz Hi-Res audio;Yes;Yes, with stereo speakers;N/A;N/A;Endurance rating 126h;Photo / Video;736 nits max brightness (measured);-25.8 LUFS (Very good);"AnTuTu: 228044 (v8), 244526 (v9)
GeekBench: 1662 (v5.1)
GFXBench: 6.8fps (ES 3.1 onscreen)"
6;Xiaomi;Xiaomi Redmi Note 14 Pro+ 5G;https://www.gsmarena.com/xiaomi_redmi_note_14_pro+_5g_(global)-13612.php;N/A;N/A;120W wired;5110 mAh;IP68 dust tight and water resistant (immersible up to 1.5m for 30 min);Glass front (Gorilla Glass Victus 2), glass back (Gorrila Glass 7i) or silicone polymer back (eco leather), aluminum frame;162.5 x 74.7 x 8.8 mm (6.40 x 2.94 x 0.35 in);Nano-SIM + eSIMNano-SIM + Nano-SIM;205 g or 210 g (7.23 oz);5.4, A2DP, LE;Yes;Yes (market/region dependent);GPS (L1+L5), GALILEO, GLONASS, QZSS, BDS;Unspecified;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6/6e, dual-band, Wi-Fi Direct (/6e is market/region dependent);N/A;Corning Gorilla Glass Victus 2;1220 x 2712 pixels, 20:9 ratio (~446 ppi density);6.67 inches, 107.4 cm2 (~88.5% screen-to-body ratio);AMOLED, 68B colors, 120Hz, 1920Hz PWM, HDR10+, Dolby Vision, 3000 nits (peak);Circle to Search;Fingerprint (under display, optical), accelerometer, gyro, compass, proximity;2025, January 10;Available. Released 2025, January 15;N/A;LED flash, HDR, panorama;N/A;N/A;"200 MP, f/1.7, 23mm (wide), 1/1.4"", 0.56µm, multi-directional PDAF, OIS
8 MP, f/2.2, 15mm, 120˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)";4K@24/30fps, 1080p@30/60/120fps, gyro-EIS, OIS;UFS 2.2;No;256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Lavender Purple, Frost Blue, Midnight Black, Sand Gold;24115RA8EG;$ 370.70 / € 288.84 / £ 283.99;N/A;0.99 W/kg (head)     1.00 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 32, 38, 40, 41, 42, 48, 66;1, 2, 3, 5, 7, 8, 12, 20, 26, 28, 38, 40, 41, 48, 66, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (1x2.5 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520);Qualcomm SM7635 Snapdragon 7s Gen 3 (4 nm);Adreno 810;Android 14, up to 3 major Android upgrades, HyperOS;HDR, panorama;"20 MP, f/2.2, 21mm (wide), 1/4.0"", 0.7µm";1080p@30/60fps;24-bit/192kHz Hi-Res & Hi-Res wireless audio;No;Yes, with stereo speakers (with Dolby Atmos);N/A;Active use score 10:40h;N/A;N/A;1200 nits max brightness (measured);-26.5 LUFS (Good);"AnTuTu: 750292 (v10)
GeekBench: 3234 (v6)
3DMark: 1049 (Wild Life Extreme)"
7;Xiaomi;Xiaomi Redmi 13;https://www.gsmarena.com/xiaomi_redmi_13-13102.php;N/A;N/A;33W wired;5030 mAh;IP53 dust protected and water resistant (vertical water sprays);Glass front, plastic frame, glass back;168.6 x 76.3 x 8.3 mm (6.64 x 3.00 x 0.33 in);Nano-SIM + Nano-SIM;205 g (7.23 oz);5.4, A2DP, LE;Yes;Yes (market/region dependent);GPS, GLONASS, GALILEO, BDS;FM radio;USB Type-C;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;Corning Gorilla Glass;1080 x 2460 pixels (~396 ppi density);6.79 inches, 109.5 cm2 (~85.1% screen-to-body ratio);IPS LCD, 90Hz, 550 nits (HBM);Virtual proximity sensing;Fingerprint (side-mounted), accelerometer, compass;2024, June 03;Available. Released 2024, June 03;"108 MP, f/1.8, (wide), 1/1.67"", 0.64µm, PDAF
2 MP, f/2.4, (macro)";LED flash, HDR;N/A;N/A;N/A;1080p@30fps;eMMC 5.1;microSDXC (uses shared SIM slot);128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM;Midnight Black, Sandy Gold, Ocean Blue, Pink;2404ARN45A, 24040RN64Y;$ 129.00 / € 105.88 / £ 99.99;N/A;0.99 W/kg (head)     0.98 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 20, 28, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mediatek Helio G91 Ultra (12 nm);Mali-G52 MC2;Android 14, HyperOS;HDR;13 MP, f/2.5, (wide);1080p@30fps;N/A;Yes;Yes;N/A;Active use score 10:28h;N/A;N/A;1300:1 contrast ratio, 448 nits max brightness (measured);-29.9 LUFS (Average);"AnTuTu: 258090 (v9), 262438 (v10)

GeekBench: 1346 (v5), 1342 (v6)
3DMark: 187 (Wild Life Extreme)"
8;Xiaomi;Xiaomi Redmi Note 13;https://www.gsmarena.com/xiaomi_redmi_note_13-12776.php;N/A;N/A;33W wired;Li-Po 5000 mAh;IP54 dust protected and water resistant (water splashes);Glass front (Gorilla Glass 5), plastic frame, plastic back;161.1 x 75 x 7.6 mm (6.34 x 2.95 x 0.30 in);Nano-SIM + Nano-SIM;174.5 g (6.14 oz);5.3, A2DP, LE;Yes;Yes (market/region dependent);GPS, GLONASS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;*1B colors (market/region dependent);Corning Gorilla Glass 5;1080 x 2400 pixels, 20:9 ratio (~395 ppi density);6.67 inches, 107.4 cm2 (~88.9% screen-to-body ratio);AMOLED, 1B colors*, 120Hz, 1920Hz PWM, 1000 nits (peak);N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2024, January 04;Available. Released 2024, January 10;N/A;LED flash, HDR, panorama;N/A;N/A;"108 MP, f/1.7, (wide), 1/1.67"", 0.64µm, PDAF
8 MP, f/2.2, (ultrawide)
2 MP, f/2.4, (depth)";1080p@30fps;UFS 2.2;microSDXC (uses shared SIM slot);128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Graphite black (Stealth Black), Arctic White, Ocean Teal, Prism Gold;2312DRAABG, 2312DRAABI;$ 169.99 / € 145.25 / £ 170.20 / ₹ 15,440;1.07 W/kg (head)     0.99 W/kg (body);0.94 W/kg (head)     1.00 W/kg (body);1, 3, 5, 8, 28, 40, 78 SA/NSA - India;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - International;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 32, 38, 40, 41, 66 - International;1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA - International;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 6080 (6 nm);Mali-G57 MC2;Android 13, upgradable to Android 14, up to 2 major Android upgrades, HyperOS;HDR, panorama;16 MP, f/2.4, (wide);1080p@30fps;24-bit/192kHz Hi-Res & Hi-Res wireless audio;Yes;Yes;N/A;Active use score 9:49h;N/A;N/A;991 nits max brightness (measured);-24.0 LUFS (Very good);"AnTuTu: 405118 (v9), 455421 (v10)

GeekBench: 1968 (v5), 1978 (v6)
3DMark: 371 (Wild Life Extreme)"
9;Xiaomi;Xiaomi 14T;https://www.gsmarena.com/xiaomi_14t-13329.php;N/A;N/A;67W wired, PD3.0, 100% in 45 min;Li-Po 5000 mAh;IP68 dust tight and water resistant (immersible up to 2m for 30 min);Glass front (Gorilla Glass 5), plastic frame, glass back (Panda X);160.5 x 75.1 x 7.8 mm or 8.0 mm;Nano-SIM + eSIMeSIM + eSIMNano-SIM + Nano-SIM;193 g or 195 g (6.81 oz);5.4, A2DP, LE, LHDC;Yes;Yes (market/region dependent);GPS (L1+L5), BDS (B1I+B1C+B2a), GALILEO (E1+E5a), NavIC (L5), GLONASS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass 5;1220 x 2712 pixels, 20:9 ratio (~446 ppi density);6.67 inches, 107.4 cm2 (~89.1% screen-to-body ratio);AMOLED, 68B colors, 144Hz, 2880Hz PWM, Dolby Vision, HDR10+, 1600 nits (HBM), 4000 nits (peak);Circle to Search;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2024, September 26;Available. Released 2024, September 26;N/A;Leica lens, Ultra HDR, LED flash, HDR, panorama;N/A;N/A;"50 MP, f/1.7, 23mm (wide), 1/1.56"", 1.0µm, PDAF, OIS
50 MP, f/1.9, 50mm (telephoto), 1/2.76"", 0.64µm, PDAF, 2x optical zoom
12 MP, f/2.2, 15mm (ultrawide), 1/3.06"", 1.12µm";4K@24/30/60fps, 1080p@30/60/120/240/960fps, gyro-EIS, 10-bit Rec. 2020, HDR10+;UFS 4.0;No;256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM;Titan Gray, Titan Blue, Titan Black, Lemon Green;2406APNFAG;$ 495.00 / € 354.00 / £ 323.70;N/A;0.98 W/kg (head)     0.99 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 32, 38, 40, 41, 42, 48, 66;1, 2, 3, 5, 7, 8, 12, 20, 26, 28, 38, 40, 41, 48, 66, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510);Mediatek Dimensity 8300 Ultra (4 nm);Mali G615-MC6;Android 14, upgradable to Android 15, HyperOS 2;HDR;"32 MP, f/2.0, 25mm (wide), 1/3.44"", 0.64µm";4K@30fps, 1080p@30/60fps, HDR10+;24-bit/192kHz Hi-Res & Hi-Res Wireless audio;No;Yes, with stereo speakers;N/A;Active use score 11:32h;N/A;N/A;1355 nits max brightness (measured);-25.0 LUFS (Very good);"AnTuTu: 1253994 (v10)
GeekBench: 3989 (v6)
3DMark: 2942 (Wild Life Extreme)"
10;Xiaomi;Xiaomi Redmi Note 14 5G (India);https://www.gsmarena.com/xiaomi_redmi_note_14-13559.php;N/A;N/A;45W wired;5110 mAh;IP64 dust tight and water resistant (water splashes);Glass front, plastic back;162.4 x 75.7 x 8 mm (6.39 x 2.98 x 0.31 in);Nano-SIM + Nano-SIM;190 g (6.70 oz);5.3, A2DP, LE;Yes;Yes (market/region dependent);GPS, GLONASS, BDS, GALILEO;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass 5;1080 x 2400 pixels, 20:9 ratio (~395 ppi density);6.67 inches, 107.4 cm2 (~87.4% screen-to-body ratio);AMOLED, 120Hz, HDR10+, 2100 nits (peak);N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2024, December 09;Available. Released 2024, December 13;N/A;LED flash, HDR, panorama;N/A;N/A;"50 MP, f/1.5, 26mm (wide), 1/1.95"", 0.8µm, PDAF, OIS
8 MP, f/2.2, 21mm (ultrawide)
2 MP, f/2.4, (macro)";1080p@30fps;UFS 2.2;microSDXC (uses shared SIM slot);128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM;Titan Black, Mystique White, Phantom Purple, Ivy Green;N/A;₹ 16,998;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 28, 40, 41;1, 3, 5, 8, 28, 40, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (2x2.5 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 7025 Ultra (6 nm);IMG BXM-8-256;Android 14, HyperOS;N/A;"20 MP, f/2.2, (wide), 1/4.0"", 0.7µm";1080p@30fps;24-bit/192kHz Hi-Res audio;Yes;Yes, with stereo speakers;N/A;N/A;N/A;N/A;N/A;N/A;N/A
