No;Brand;Phone Name;Product URL;Estimated_Price;Popularity_Fans;Battery_Charging;Battery_Type;Body_;Body_Build;Body_Dimensions;Body_SIM;Body_Weight;Comms_Bluetooth;Comms_Infraredport;Comms_NFC;Comms_Positioning;Comms_Radio;Comms_USB;Comms_WLAN;Display_;Display_Protection;Display_Resolution;Display_Size;Display_Type;Features_;Features_Sensors;Launch_Announced;Launch_Status;MainCamera_Dual;MainCamera_Features;MainCamera_Quad;MainCamera_Single;MainCamera_Triple;MainCamera_Video;Memory_;Memory_Cardslot;Memory_Internal;Misc_Colors;Misc_Models;Misc_Price;Misc_SAR;Misc_SAREU;Network_;Network_2Gbands;Network_3Gbands;Network_4Gbands;Network_5Gbands;Network_Speed;Network_Technology;Platform_CPU;Platform_Chipset;Platform_GPU;Platform_OS;Selfiecamera_Features;Selfiecamera_Single;Selfiecamera_Video;Sound_;Sound_35mmjack;Sound_Loudspeaker;Tests_Audioquality;Tests_Batterynew;Tests_Batteryold;Tests_Camera;Tests_Display;Tests_Loudspeaker;Tests_Performance
1;Xiaomi;Xiaomi Redmi Turbo 4 Pro;https://www.gsmarena.com/xiaomi_redmi_turbo_4_pro-13617.php;N/A;N/A;"90W wired, PD3.0, QC3+
22.5W reverse wired";Si/C Li-Ion 7550 mAh;IP68 dust tight and water resistant (immersible up to 2m for 30 min);Glass front, aluminum frame, glass back;163.1 x 77.9 x 8 mm (6.42 x 3.07 x 0.31 in);Nano-SIM + Nano-SIM;219 g (7.72 oz);5.4, A2DP, LE, aptX, LHDC 5;Yes;Yes;GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5), GLONASS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct;N/A;N/A;1280 x 2772 pixels, 19.5:9 ratio (~447 ppi density);6.83 inches, 114.5 cm2 (~90.2% screen-to-body ratio);AMOLED, 68B colors, 120Hz, 3840Hz PWM, Dolby Vision, HDR10+, HDR Vivid, 800 nits (typ), 1800 nits (HBM), 3200 nits (peak;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, April 24;Available. Released 2025, April 24;"50 MP, f/1.5, 26mm (wide), 1/1.95"", 0.8µm, PDAF, OIS
8 MP, f/2.2, 15mm (ultrawide), 1/4.0"", 1.12µm";LED flash, HDR, panorama;N/A;N/A;N/A;4K@30/60fps, 1080p@30/60/120/240/960fps, gyro-EIS;UFS 4.1;No;256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM;Black, White, Green, Harry Potter edition;25053RT47C;About 240 EUR;N/A;N/A;CDMA2000 1x;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 2100;1, 3, 4, 5, 8, 19, 28, 34, 38, 39, 40, 41, 42, 48, 66;1, 3, 5, 8, 28, 38, 40, 41, 48, 66, 77, 78 SA/NSA/Sub6;HSPA, LTE, 5G;GSM / CDMA / HSPA / CDMA2000 / LTE / 5G;Octa-core (1x3.21 GHz Cortex-X4 & 3x3.0 GHz Cortex-A720 & 2x2.8 GHz Cortex-A720 & 2x2.0 GHz Cortex-A720);Qualcomm SM8735 Snapdragon 8s Gen 4 (4 nm);Adreno 825;Android 15, HyperOS 2;N/A;"20 MP, f/2.2, (wide), 1/4""";1080p@30/60fps;24-bit/192kHz Hi-Res & Hi-Res Wireless audio;No;Yes, with stereo speakers;N/A;N/A;N/A;N/A;N/A;N/A;N/A
2;Xiaomi;Xiaomi Redmi 14C;https://www.gsmarena.com/xiaomi_redmi_14c-13291.php;N/A;N/A;18W wired, PD;5160 mAh;Dust and splash resistant;Glass front (Gorilla Glass 3), plastic frame, glass back or silicone polymer (eco leather) back;171.9 x 77.8 x 8.2 mm (6.77 x 3.06 x 0.32 in);Nano-SIM + Nano-SIM;204 / 207 / 211 g (7.20 oz);5.4, A2DP, LE;N/A;Yes (market/region dependent);GPS, GLONASS, GALILEO, BDS;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;Display;Corning Gorilla Glass 3;720 x 1640 pixels (~260 ppi density);6.88 inches, 112.4 cm2 (~84.0% screen-to-body ratio);IPS LCD, 120Hz, 450 nits (typ), 600 nits (HBM);Virtual proximity sensing;Fingerprint (side-mounted), accelerometer, compass;2024, August 30;Available. Released 2024, August 30;"50 MP, f/1.8, 28mm (wide), 1/2.96"", PDAF
or
50 MP, f/1.8, 28mm (wide), 1/2.76"", 0.64µm, PDAF
QVGA, f/3.0";LED flash, HDR;N/A;N/A;N/A;1080p@30fps;eMMC 5.1;microSDXC (dedicated slot);64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 4GB RAM, 256GB 8GB RAM;Midnight Black, Sage Green, Dreamy Purple, Starry Blue;2411DRN47C, 2409BRN2CA, 2409BRN2CG, 2409BRN2CY;$ 112.50 / € 87.53 / £ 79.00;N/A;0.99 W/kg (head)     0.90 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 20, 28, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mediatek Helio G81 Ultra (12 nm);Mali-G52 MC2;Android 14, HyperOS;HDR;"13 MP, f/2.0, (wide), 1/3.06""";1080p@30fps;N/A;Yes;Yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3;Xiaomi;Xiaomi Poco X7;https://www.gsmarena.com/xiaomi_poco_x7-13604.php;N/A;N/A;45W wired, 100% in 52 min;5110 mAh (Global)5500 mAh (India only);"IP68 dust tight and water resistant (immersible up to 1.5m for 30 min)
IP69 (market/region dependent)";Glass front (Gorilla Glass Victus 2), plastic back or silicone polymer back (eco leather);162.3 x 74.4 x 8.4 mm or 8.6 mm;Nano-SIM + Nano-SIM + eSIM (max 2 at a time)Nano-SIM + Nano-SIM;185.5 g or 190 g (6.70 oz);5.4, A2DP, LE, LHDC;Yes;Yes (market/region dependent);GPS, GLONASS, BDS, GALILEO, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass Victus 2;1220 x 2712 pixels, 20:9 ratio (~446 ppi density);6.67 inches, 107.4 cm2 (~88.9% screen-to-body ratio);AMOLED, 68B colors, 120Hz, 1920Hz PWM, HDR10+, Dolby Vision, 1200 nits (HBM), 3000 nits (peak);N/A;Fingerprint (under display, optical), accelerometer, gyro, compass, proximity;2025, January 09;Available. Released 2025, January 09;N/A;LED flash, HDR, panorama;N/A;N/A;"50 MP, f/1.5, 26mm (wide), 1/1.95"", 0.8µm, PDAF, OIS
8 MP, f/2.2,  15mm, 120˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)";4K@24/30fps, 1080p@30/60/120fps, gyro-EIS, OIS;UFS 2.2;No;128GB 8GB RAM, 256GB 8GB RAM, 512GB 12GB RAM;Black, Green, Silver;24095PCADG;$ 292.99 / € 216.58 / £ 189.00 / ₹ 16,990;1.09 W/kg (head)     1.06 W/kg (body);0.99 W/kg (head)     0.99 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 28, 38, 40, 41, 42, 48, 66;1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55);Mediatek Dimensity 7300 Ultra (4 nm);Mali-G615 MC2;Android 14, HyperOS;N/A;"20 MP, f/2.2, 25mm (wide), 1/4.0"", 0.7µm";1080p@30/60fps;N/A;No;Yes, with dual speakers;N/A;Active use score 11:07h;N/A;N/A;1111 nits max brightness (measured);-26.8 LUFS (Good);"AnTuTu: 677093 (v10)
GeekBench: 2846 (v6)
3DMark: 846 (Wild Life Extreme)"
4;Xiaomi;Xiaomi Poco C71;https://www.gsmarena.com/xiaomi_poco_c71_4g-13767.php;N/A;N/A;15W wired;5200 mAh;Dust and splash resistant;N/A;171.8 x 77.8 x 8.3 mm (6.76 x 3.06 x 0.33 in);Nano-SIM + Nano-SIM;193 g (6.81 oz);5.2, A2DP, LE;N/A;No;GPS;FM radio, recording;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;720 x 1640 pixels (~260 ppi density);6.88 inches, 112.4 cm2 (~84.1% screen-to-body ratio);IPS LCD, 120Hz, 450 nits (typ), 600 nits (HBM);Virtual proximity sensing;Fingerprint (side-mounted), accelerometer, compass;2025, April 04;Available. Released 2025, April 08;N/A;LED flash, HDR;N/A;"32 MP, f/1.8, (wide)
Auxiliary lens";N/A;1080p@30fps;eMMC 5.1;microSDXC (dedicated slot);64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM;Power Black, Cool Blue, Desert Gold;25028PC03I, 25028PC03G;£ 79.00 / ₹ 6,499;0.82 W/kg (head)     0.77 W/kg (body);N/A;1, 3, 5, 8, 28, 40, 41 - India;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - Global;1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 40, 41, 66 - Global;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55);Unisoc T7250 (12 nm);Mali-G57 MP1;Android 15 or Android 15 (Go edition), up to 2 major Android upgrades;HDR;8 MP, f/2.0, (wide);1080p@30fps;N/A;Yes;Yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A
5;Xiaomi;Xiaomi Redmi Pad 2;https://www.gsmarena.com/xiaomi_redmi_pad_2-13908.php;N/A;N/A;18W wired, PD2, QC2.0;Li-Po 9000 mAh;Stylus support;Glass front, aluminum frame;254.6 x 166 x 7.4 mm (10.02 x 6.54 x 0.29 in);Nano-SIM + Nano-SIM (cellular model only);510 g or 519 g (1.12 lb);5.3, A2DP, LE;N/A;No;GPS, GALILEO, GLONASS, BDS, QZSS (cellular model only);No;USB Type-C, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;N/A;1600 x 2560 pixels, 16:10 ratio (~274 ppi density);11.0 inches, 350.9 cm2 (~83.0% screen-to-body ratio);IPS LCD, 1B colors, 90Hz, 600 nits (HBM);N/A;Accelerometer, gyro/compass (cellular model only);2025, June 05;Available. Released 2025, June 05;N/A;HDR;N/A;"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm";N/A;1080p@30fps;UFS 2.2;microSDXC (uses shared SIM slot);128GB 4GB RAM, 128GB 6GB RAM, 256GB 8GB RAM;Graphite Gray, Mint Green, Lavender Purple;25040RP0AG, 25040RP0AI;About 230 EUR;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900 - cellular model only;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - cellular model only;1, 2, 3, 4, 5, 7, 8, 13, 18, 19, 20, 26, 28, 38, 40, 41, 66 - cellular model only;N/A;HSPA, LTE - cellular model only;GSM / HSPA / LTE;Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek Helio G100 Ultra (6 nm);Mali-G57 MC2;Android 15, HyperOS 2;HDR;"5 MP, f/2.2, (wide), 1/5.0"", 1.12µm";1080p@30fps;24-bit/192kHz Hi-Res audio;Yes;Yes, with stereo speakers (4 speakers, with Dolby Atmos);N/A;Active use score 11:09h;N/A;N/A;N/A;-26.9 LUFS (Good);N/A
6;Xiaomi;Xiaomi Poco C75;https://www.gsmarena.com/xiaomi_poco_c75-13435.php;N/A;N/A;18W wired, PD;5160 mAh;N/A;N/A;171.9 x 77.8 x 8.2 mm (6.77 x 3.06 x 0.32 in);Nano-SIM + Nano-SIM;204 g (7.20 oz);5.4, A2DP, LE;N/A;Yes (market/region dependent);GPS, GLONASS, GALILEO, BDS;FM radio;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;720 x 1640 pixels (~260 ppi density);6.88 inches, 112.4 cm2 (~84.0% screen-to-body ratio);IPS LCD, 120Hz, 450 nits (typ), 600 nits (HBM);Virtual proximity sensing;Fingerprint (side-mounted), accelerometer, compass;2024, October 26;Available. Released 2024, November 05;N/A;LED flash, HDR;N/A;"50 MP, f/1.8, 28mm (wide), PDAF
Auxiliary lens";N/A;1080p@30fps;eMMC 5.1;microSDXC (dedicated slot);128GB 6GB RAM, 256GB 8GB RAM;Black, Green, Gold;2410FPCC5G;$ 119.99 / € 84.30 / £ 69.00;1.03 W/kg (head)     1.08 W/kg (body);0.98 W/kg (head)     0.98 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41, 66;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mediatek Helio G81 Ultra (12 nm);Mali-G52 MC2;Android 14, HyperOS;HDR;13 MP, f/2.0, (wide);1080p@30fps;N/A;Yes;Yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A
7;Xiaomi;Xiaomi Redmi Note 13 Pro+;https://www.gsmarena.com/xiaomi_redmi_note_13_pro+-12572.php;N/A;N/A;120W wired, PD3.0, 100% in 19 min;Li-Po 5000 mAh;IP68 dust tight and water resistant (immersible up to 1.5m for 30 min);Glass front (Gorilla Glass Victus), glass back or silicone polymer back (eco leather);161.4 x 74.2 x 8.9 mm (6.35 x 2.92 x 0.35 in);Nano-SIM + eSIMNano-SIM + Nano-SIM;199 g or 204.5 g (7.02 oz);5.3, A2DP, LE;Yes;Yes (market/region dependent);GPS, GLONASS, BDS, GALILEO, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass Victus;1220 x 2712 pixels, 20:9 ratio (~446 ppi density);6.67 inches, 107.4 cm2 (~89.7% screen-to-body ratio);AMOLED, 68B colors, 120Hz, 1920Hz PWM, Dolby Vision, HDR10+, 1800 nits (peak);N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2023, September 21;Available. Released 2023, September 21;N/A;Dual-LED dual-tone flash, HDR, panorama;N/A;N/A;"200 MP, f/1.7, 23mm (wide), 1/1.4"", 0.56µm, multi-directional PDAF, OIS
8 MP, f/2.2, 16mm, 120˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)";4K@24/30fps, 1080p@30/60/120fps, gyro-EIS;UFS 3.1;No;256GB 8GB RAM, 256GB 12GB RAM, 512GB 8GB RAM, 512GB 12GB RAM, 512GB 16GB RAM;Midnight Black (Fushion Black), Moonlight White (Fushion White), Aurora Purple, Fushion Purple, Camo Green;23090RA98C, 23090RA98G, 23090RA98I;$ 259.99 / € 208.90 / £ 250.31 / ₹ 24,690;1.09 W/kg (head)     0.85 W/kg (body);0.98 W/kg (head)     1.00 W/kg (body);1, 3, 5, 8, 28, 38, 41, 77, 78 SA/NSA - China;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - International;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 32, 38, 40, 41, 66 - International;1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA- International;HSPA, LTE (CA), 5G;GSM / CDMA / HSPA / EVDO / LTE / 5G;Octa-core (2x2.8 GHz Cortex-A715 & 6x2.0 GHz Cortex-A510);Mediatek Dimensity 7200 Ultra (4 nm);Mali-G610 MC4;Android 13, up to 3 major Android upgrades, HyperOS;HDR, panorama;16 MP, f/2.4, (wide);1080p@30/60fps;24-bit/192kHz Hi-Res & Hi-Res wireless audio;No;Yes, with stereo speakers;N/A;Active use score 10:38h;N/A;N/A;1283 nits max brightness (measured);-26.3 LUFS (Good);"AnTuTu: 683899 (v9), 779812 (v10)

GeekBench: 2353 (v5), 2597 (v6)
3DMark: 1193 (Wild Life Extreme)"
8;Xiaomi;Xiaomi 15 Ultra;https://www.gsmarena.com/xiaomi_15_ultra-13657.php;N/A;N/A;"90W wired, PD3.0, QC3+
80W wireless
10W reverse wireless";Si/C Li-Ion 5410 mAh - GlobalSi/C Li-Ion 6000 mAh - China;"IP68 dust tight and water resistant (immersible up to 1.5m for 30 min)
Aerospace-grade glass fiber";Glass front, glass-fiber back or silicone polymer back (eco leather), aluminum frame;161.3 x 75.3 x 9.4 mm (6.35 x 2.96 x 0.37 in);Nano-SIM + Nano-SIMNano-SIM + Nano-SIM + eSIM + eSIM (max 2 at a time);226 g or 229 g (7.97 oz);6.0, A2DP, LE, aptX HD, aptX Adaptive, LHDC 5;Yes;Yes;GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5), GLONASS;No;USB Type-C 3.2 Gen 2, DisplayPort, OTG;Wi-Fi 802.11 a/b/g/n/ac/6e/7, dual-band or tri-band, Wi-Fi Direct;N/A;Xiaomi Shield Glass 2.0;1440 x 3200 pixels, 20:9 ratio (~522 ppi density);6.73 inches, 108.9 cm2 (~89.7% screen-to-body ratio);LTPO AMOLED, 68B colors, 120Hz, 1920Hz PWM, Dolby Vision, HDR10+, HDR Vivid, 3200 nits (peak);Two-way satellite communication;Fingerprint (under display, ultrasonic), accelerometer, proximity, gyro, compass, barometer;2025, February 27;Available. Released 2025, February 27;N/A;Laser AF, color spectrum sensor, Leica lenses, Dual-LED flash, HDR, panorama, 67mm filter ring holder (optional);"50 MP, f/1.6, 23mm (wide), 1.0""-type, 1.6µm, dual pixel PDAF, OIS
50 MP, f/1.8, 70mm (telephoto), 1/2.51"", 0.7µm, dual pixel PDAF (10cm - ∞), OIS, 3x optical zoom
200 MP, f/2.6, 100mm (periscope telephoto), 1/1.4"", 0.56µm, multi-directional PDAF, OIS, 4.3x optical zoom
50 MP, f/2.2, 14mm, 115˚ (ultrawide), 1/2.76"", 0.64µm, dual pixel PDAF
TOF 3D, (depth)";N/A;N/A;8K@30fps, 4K@30/60/120fps, 1080p@30/60/120/240/480/960/1920fps, gyro-EIS, Dolby Vision HDR 10-bit rec. (4K@60fps, 1080p);UFS 4.1;No;256GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM;Black, White, Silver Chrome, Green;25010PN30G;€ 1,053.69 / £ 1,039.00 / ₹ 109,998;N/A;1.00 W/kg (head)     1.00 W/kg (body);1, 2, 3, 5, 7, 8, 12, 20, 26, 28, 38, 40, 41, 48, 66, 77, 78, 79, 80, 81, 83, 84, 89 SA/NSA - China;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 42, 48, 66, 71 - International;1, 2, 3, 5, 7, 8, 12, 20, 25, 26, 28, 38, 40, 41, 48, 66, 71, 75, 77, 78, 79 SA/NSA - International;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M);Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm);Adreno 830;Android 15, up to 4 major Android upgrades, HyperOS 2;HDR, panorama;"32 MP, f/2.0, 21mm (wide), 1/3.14"", 0.7µm";4K@30/60fps, 1080p@30/60fps, gyro-EIS;"24-bit/192kHz Hi-Res & Hi-Res Wireless audio
Qualcomm XPAN (24-bit/96kHz audio)";No;Yes, with stereo speakers;N/A;Active use score 16:13h;N/A;N/A;N/A;-24.1 LUFS (Very good);N/A
9;Xiaomi;Xiaomi Redmi Note 14 5G;https://www.gsmarena.com/xiaomi_redmi_note_14_5g_(global)-13615.php;N/A;N/A;45W wired;5110 mAh;IP64 dust tight and water resistant (water splashes);Glass front (Gorilla Glass 5), plastic back, plastic frame;162.4 x 75.7 x 8 mm (6.39 x 2.98 x 0.31 in);Nano-SIM + Nano-SIM;190 g (6.70 oz);5.3, A2DP, LE;Yes;Yes (market/region dependent);GPS, GLONASS, BDS, GALILEO;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass 5;1080 x 2400 pixels, 20:9 ratio (~395 ppi density);6.67 inches, 107.4 cm2 (~87.4% screen-to-body ratio);AMOLED, 120Hz, 960Hz PWM, HDR10+, 1200 nits (HBM), 2100 nits (peak);Virtual proximity sensing;Fingerprint (under display, optical), accelerometer, gyro, compass;2025, January 10;Available. Released 2025, January 16;N/A;LED flash, HDR, panorama;N/A;N/A;"108 MP, f/1.7, 24mm (wide), 1/1.67"", 0.64µm, PDAF, OIS
8 MP, f/2.2, 16mm (ultrawide), 1/4.4"", 1.0µm
2 MP, f/2.4, (macro)";1080p@30fps, gyro-EIS, OIS;UFS 2.2;microSDXC (uses shared SIM slot);128GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Midnight Black, Lavender Purple, Coral Green;24094RAD4G;$ 246.50 / € 203.99 / £ 232.78;N/A;0.99 W/kg (head)     1.00 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 32, 38, 40, 41, 42, 48, 66;1, 2, 3, 5, 7, 8, 12, 20, 26, 28, 38, 40, 41, 48, 66, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (2x2.5 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 7025 Ultra (6 nm);IMG BXM-8-256;Android 14, up to 2 major Android upgrades, HyperOS;N/A;"20 MP, f/2.2, 21mm (wide), 1/4.0"", 0.7µm";1080p@30fps;24-bit/192kHz Hi-Res audio;Yes;Yes, with stereo speakers (with Dolby Atmos);N/A;Active use score 11:50h;N/A;N/A;1168 nits max brightness (measured);-22.7 LUFS (Excellent);"AnTuTu: 463129 (v10)
GeekBench: 2258 (v6)"
10;Xiaomi;Xiaomi 14;https://www.gsmarena.com/xiaomi_14-12626.php;N/A;N/A;"90W wired, PD3.0, QC4, 100% in 31 min
50W wireless, 100% in 46 min
10W reverse wireless";Li-Po 4610 mAh;IP68 dust tight and water resistant (immersible up to 1.5m for 30 min);Glass front (Gorilla Glass Victus), glass back or silicone polymer back, aluminum frame;152.8 x 71.5 x 8.2 mm or 8.3 mm;Nano-SIM + eSIMNano-SIM + Nano-SIM;188 g or 193 g (6.63 oz);5.4, A2DP, LE, aptX HD, aptX Adaptive, LHDC;Yes;Yes;GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5);No;USB Type-C 3.2, OTG;Wi-Fi 802.11 a/b/g/n/ac/6e/7, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass Victus;1200 x 2670 pixels, 20:9 ratio (~460 ppi density);6.36 inches, 97.6 cm2 (~89.3% screen-to-body ratio);LTPO OLED, 68B colors, 120Hz, Dolby Vision, HDR10+, 1000 nits (typ), 3000 nits (peak);N/A;Fingerprint (under display, optical), accelerometer, proximity, gyro, compass, barometer;2023, October 26;Available. Released 2023, November 01;N/A;Laser AF, color spectrum sensor, Leica lens, Dual-LED dual-tone flash, HDR, panorama;N/A;N/A;"50 MP, f/1.6, 23mm (wide), 1/1.31"", 1.2µm, dual pixel PDAF, OIS
50 MP, f/2.0, 75mm (telephoto), PDAF (10cm - ∞), OIS, 3.2x optical zoom
50 MP, f/2.2, 14mm, 115˚ (ultrawide)";8K@24fps (HDR), 4K@24/30/60fps (HDR10+, 10-bit Dolby Vision HDR, 10-bit LOG), 1080p@30/60/120/240/960fps, 720p@1920fps, gyro-EIS;UFS 4.0;No;256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM;Black, White, Jade Green, Pink;23127PN0CC, 23127PN0CG;$ 729.50 / € 490.00 / £ 594.43 / ₹ 59,999;N/A;1.00 W/kg (head)     0.99 W/kg (body);1, 3, 5, 8, 28, 38, 40, 41, 48, 66, 77, 78 SA/NSA - China;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 42, 48, 66 - International;1, 2, 3, 5, 7, 8, 20, 25, 28, 38, 40, 41, 48, 66, 75, 77, 78 SA/NSA - International;HSPA, LTE, 5G;GSM / CDMA / HSPA / CDMA2000 / LTE / 5G;Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520);Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm);Adreno 750;Android 14, upgradable to Android 15, up to 4 major Android upgrades, HyperOS 1.1;HDR, panorama;32 MP, f/2.0, 22mm (wide), 0.7µm;4K@30/60fps, 1080p@30/60fps, gyro-EIS;"24-bit/192kHz Hi-Res & Hi-Res wireless audio
Snapdragon Sound";No;Yes, with stereo speakers;N/A;Active use score 13:56h;N/A;N/A;1175 nits max brightness (measured);-25.3 LUFS (Very good);"AnTuTu: 2003429 (v10)
GeekBench: 6810 (v6)
3DMark: 4567 (Wild Life Extreme)"
