No;Brand;Phone Name;Product URL;Estimated_Price;Popularity_Fans;Battery_Charging;Battery_Type;Body_;Body_Build;Body_Dimensions;Body_SIM;Body_Weight;Comms_Bluetooth;Comms_Infraredport;Comms_NFC;Comms_Positioning;Comms_Radio;Comms_USB;Comms_WLAN;Display_;Display_Protection;Display_Resolution;Display_Size;Display_Type;Features_;Features_Sensors;Launch_Announced;Launch_Status;MainCamera_Dual;MainCamera_Features;MainCamera_Single;MainCamera_Triple;MainCamera_Video;Memory_;Memory_Cardslot;Memory_Internal;Misc_Colors;Misc_Models;Misc_Price;Network_;Network_2Gbands;Network_3Gbands;Network_4Gbands;Network_5Gbands;Network_Speed;Network_Technology;Platform_CPU;Platform_Chipset;Platform_GPU;Platform_OS;Selfiecamera_Features;Selfiecamera_Single;Selfiecamera_Video;Sound_35mmjack;Sound_Loudspeaker
1;iTel;Oukitel C37;https://www.gsmarena.com/oukitel_c37-13096.php;N/A;N/A;18W wired;Li-Po 5150 mAh;N/A;N/A;164.3 x 75.5 x 8.8 mm (6.47 x 2.97 x 0.35 in);Nano-SIM + Nano-SIM;200 g (7.05 oz);5.0, A2DP, LE;N/A;No;GPS, GALILEO, GLONASS;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;Corning Gorilla Glass 5;1080 x 2408 pixels, 20:9 ratio (~400 ppi density);6.6 inches, 104.9 cm2 (~84.6% screen-to-body ratio);IPS LCD, 480 nits;N/A;Fingerprint (side-mounted), accelerometer;2024, May;Available. Released 2024, May;"48 MP, f/1.8, (wide), 1/2.0"", PDAF
2 MP, f/2.2, (macro)";LED flash, HDR, panorama;N/A;N/A;1080p@30fps;UFS 2.1;microSDXC (uses shared SIM slot);256GB 6GB RAM;Black, Green, Purple;N/A;About 120 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 38, 39, 40, 41, 66;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53);Mediatek MT8788 (12 nm);Mali-G72 MP3;Android 13;N/A;"32 MP, f/2.3, (wide), 1/2.8""";1080p@30fps;No;Yes
2;iTel;itel A23S;https://www.gsmarena.com/itel_a23s-12494.php;N/A;N/A;N/A;3020 mAh;N/A;N/A;-;Dual SIM;-;Yes;N/A;No;Unspecified;Unspecified;microUSB;Yes;N/A;N/A;480 x 854 pixels, 16:9 ratio (~196 ppi density);5.0 inches, 68.9 cm2;IPS LCD;N/A;Accelerometer;2022;Available. Released 2022;N/A;LED flash;2 MP;N/A;Yes;N/A;microSDXC;32GB 2GB RAM;Sky Cyan, Sky Black, Ocean Blue;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;LTE;N/A;HSPA, LTE;GSM / HSPA / LTE;Quad-core 1.4 GHz;Unisoc SC9832E (28 nm);Mali-T820 MP1;Android 11 (Go edition);LED flash;0.3 MP;Yes;Yes;Yes
3;iTel;Oukitel WP32;https://www.gsmarena.com/oukitel_wp32-12649.php;N/A;N/A;N/A;Li-Po 6300 mAh;"IP68/IP69K dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min)
Drop resistant up to 1.5m
MIL-STD-810H compliant";N/A;166 x 81.1 x 15.1 mm (6.54 x 3.19 x 0.59 in);Nano-SIM + Nano-SIM;297 g (10.48 oz);Yes;N/A;Yes;GPS, GLONASS, GALILEO, BDS;Unspecified;USB Type-C 2.0, OTG;Yes;N/A;N/A;720 x 1440 pixels, 18:9 ratio (~271 ppi density);5.93 inches, 90.7 cm2 (~67.4% screen-to-body ratio);IPS LCD;N/A;;2023, October;Available. Released 2023, November 01;"20 MP, (wide)
Secondary unspecified camera";LED flash;N/A;N/A;1080p@30fps;N/A;microSDXC (uses shared SIM slot);128GB 4GB RAM;Gray, Orange, Green;N/A;About 150 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 28, 19, 25, 26, 28, 66;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core 2.0 GHz;Unisoc UMS9230;Mali-G57 MP1;Android 13;N/A;5 MP;Yes;Unspecified;Yes
4;iTel;itel City 100;https://www.gsmarena.com/itel_city_100-13853.php;N/A;N/A;"18W wired
Reverse wired";5200 mAh;"IP64 dust tight and water resistant (water splashes)
Drop resistant up to 1.5m";N/A;167.7 x 77.5 x 7.7 mm (6.60 x 3.05 x 0.30 in);Nano-SIM + Nano-SIM;185 g (6.53 oz);Yes;Yes;No;GPS;Unspecified;USB Type-C, OTG;Yes;N/A;N/A;720 x 1600 pixels, 20:9 ratio (~260 ppi density);6.75 inches, 110.0 cm2 (~84.6% screen-to-body ratio);IPS LCD, 90Hz, 700 nits (HBM);N/A;"Fingerprint (side-mounted); unspecified sensors";2025, April 27;Available. Released 2025, April 27;N/A;LED flash, HDR, panorama;13 MP;N/A;Yes;UFS 2.2;microSDXC;128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 4GB RAM;Navy Blue, Pure Titanium, Fairy Purple;N/A;About 80 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;LTE;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55);Unisoc T7250 (12 nm);Mali-G57 MP1;Android 14, Pure 14.5 OS;N/A;8 MP;Yes;Yes;Yes
5;iTel;Oukitel WP35 S;https://www.gsmarena.com/oukitel_wp35_s-13458.php;N/A;N/A;18W wired;Li-Po 11000 mAh;"IP68/IP69K dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min)
Drop resistant up to 1.5m
MIL-STD-810H compliant";Glass front, aluminum/titanium frame;172.2 x 81 x 14.9 mm (6.78 x 3.19 x 0.59 in);Nano-SIM + Nano-SIM;361 g (12.73 oz);5.0, A2DP, LE;N/A;Yes;GPS, GLONASS, GALILEO, BDS;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;Corning Gorilla Glass 5;720 x 1612 pixels, 20:9 ratio (~269 ppi density);6.56 inches, 103.4 cm2 (~74.1% screen-to-body ratio);IPS LCD, 400 nits;N/A;Accelerometer, proximity, compass;2024, September;Available. Released 2024, September;N/A;LED flash, HDR, panorama;N/A;"48 MP, f/1.8, (wide), 1/2.0"", PDAF
8 MP, f/2.0, (night vision), 1/4"", AF, infrared night vision lights
2 MP, f/2.2, (macro)";1080p@30fps;N/A;microSDXC (uses shared SIM slot);256GB 6GB RAM;Grey, Green, Coffee;N/A;About 140 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 38, 39, 40, 41, 66;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mediatek Helio G85 (12 nm);Mali-G52 MC2;Android 14;N/A;"16 MP, f/2.0, (wide), 1/3.1""";1080p@30fps;No;Yes
6;iTel;itel A50C;https://www.gsmarena.com/itel_a50c-13287.php;N/A;N/A;N/A;4000 mAh;N/A;N/A;163.9 x 75.7 x 9.4 mm (6.45 x 2.98 x 0.37 in);Dual SIM;192.6 g (6.81 oz);Yes;N/A;No;GPS;Unspecified;USB Type-C;Yes;N/A;N/A;540 x 1208 pixels, 20:9 ratio (~202 ppi density);6.56 inches, 103.4 cm2 (~83.4% screen-to-body ratio);IPS LCD;N/A;"Fingerprint (rear-mounted); unspecified sensors";2024, August 12;Available. Released 2024, August 12;N/A;LED flash;8 MP, AF;N/A;Yes;N/A;microSDXC;32GB 2GB RAM;Dawn Blue, Sapphire Black, Misty Aqua;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;LTE;N/A;HSPA;GSM / HSPA / LTE;Octa-core;Unisoc T603;N/A;Android 14 (Go edition);N/A;5 MP;Yes;Yes;Yes
7;iTel;itel S23+;https://www.gsmarena.com/itel_s23+-12571.php;N/A;N/A;18W wired;5000 mAh;N/A;Glass front, plastic frame, plastic back;7.9 mm thickness;Nano-SIM + Nano-SIM;178 g (6.28 oz);5.0, A2DP, LE;N/A;Yes (market/region dependent);GPS;Unspecified;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass 5;1080 x 2400 pixels, 20:9 ratio (~388 ppi density);6.78 inches, 111.0 cm2;AMOLED, 500 nits (peak);N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2023, September 19;Available. Released 2023, September 19;N/A;LED flash;"50 MP, f/1.6, (wide), AF
0.08 MP (auxiliary lens)";N/A;1080p@30fps;UFS 2.0;No;128GB 4GB RAM, 256GB 8GB RAM;Black, Cyan;S681LN;About 110 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Unisoc Tiger T616 (12 nm);Mali-G57 MP1;Android 13, itel OS 13;N/A;32 MP, f/2.0;1080p@30fps;No;Yes
8;iTel;itel A27;https://www.gsmarena.com/itel_a27-12495.php;N/A;N/A;N/A;4000 mAh;N/A;N/A;-;Dual SIM;-;Yes;N/A;No;Unspecified;Unspecified;microUSB;Yes;N/A;N/A;480 x 960 pixels, 18:9 ratio (~197 ppi density);5.45 inches, 76.7 cm2;IPS LCD;N/A;Fingerprint (rear-mounted), accelerometer;2022;Available. Released 2022;N/A;LED flash;5 MP;N/A;Yes;N/A;microSDXC;32GB 2GB RAM;Blue;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;LTE;N/A;HSPA, LTE;GSM / HSPA / LTE;Quad-core 1.4 GHz;Unisoc SC9832E (28 nm);Mali-T820 MP1;Android 11 (Go edition);N/A;2 MP;Yes;Yes;Yes
9;iTel;itel Color Pro;https://www.gsmarena.com/itel_color_pro-13626.php;N/A;N/A;18W wired;Li-Po 5000 mAh;N/A;N/A;8.4 mm thickness;Nano-SIM + Nano-SIM;-;5.0, A2DP, LE;N/A;No;GPS;Unspecified;USB Type-C;Yes;N/A;N/A;720 x 1612 pixels, 20:9 ratio (~269 ppi density);6.56 inches, 103.4 cm2;IPS LCD, 90Hz;N/A;Fingerprint (side-mounted), accelerometer;2024, July 17;Available. Released 2024, July;N/A;LED flash, panorama;"50 MP, (wide), AF
Auxiliary lens";N/A;1080p@30fps;N/A;Unspecified;128GB 6GB RAM;River Blue, Lavender Fantasy;N/A;About 100 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 38, 40, 41;1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 6080 (6 nm);Mali-G57 MC2;Android 13, itel OS 13;N/A;8 MP;Yes;Yes;Yes
10;iTel;Oukitel C57s;https://www.gsmarena.com/oukitel_c57s-13441.php;N/A;N/A;N/A;Li-Ion 4300 mAh;N/A;N/A;165.8 x 76.6 x 9.4 mm (6.53 x 3.02 x 0.37 in);Nano-SIM + Nano-SIM;215 g (7.58 oz);4.2, A2DP, LE;N/A;No;GPS, GALILEO, GLONASS;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 b/g/n;N/A;Corning Gorilla Glass 5;576 x 1280 pixels, 20:9 ratio (~215 ppi density);6.52 inches, 102.6 cm2 (~80.8% screen-to-body ratio);IPS LCD, 400 nits;N/A;Accelerometer;2024, October;Available. Released 2024, October;N/A;LED flash, panorama;"13 MP, f/2.2, (wide), 1/3.06"", AF";N/A;1080p@30fps;N/A;microSDXC (dedicated slot);64GB 2GB RAM;Grey, Blue, Purple, Gold;N/A;About 110 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 25, 26, 28, 66;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55);Unisoc SC9863A (28 nm);IMG8322;Android 14 (Go edition);N/A;"5 MP, f/2.2, (wide), 1/5.0""";720p@30fps;Yes;Yes
