No;Brand;Device Name;Product URL;Estimated_Price;Popularity_Fans;Battery_Charging;Battery_Standby;Battery_Talktime;Battery_Type;Body_;Body_Build;Body_Dimensions;Body_SIM;Body_Weight;Comms_Bluetooth;Comms_NFC;Comms_Positioning;Comms_Radio;Comms_USB;Comms_WLAN;Display_;Display_Resolution;Display_Size;Display_Type;Features_;Features_Sensors;Launch_Announced;Launch_Status;MainCamera_;MainCamera_Dual;MainCamera_Features;MainCamera_Single;MainCamera_Video;Memory_;Memory_Cardslot;Memory_Internal;Misc_Colors;Misc_Models;Misc_Price;Network_;Network_2Gbands;Network_3Gbands;Network_4Gbands;Network_5Gbands;Network_EDGE;Network_GPRS;Network_Speed;Network_Technology;Platform_CPU;Platform_Chipset;Platform_GPU;Platform_OS;Selfiecamera_Single;Selfiecamera_Video;Sound_;Sound_35mmjack;Sound_Loudspeaker;Tests_Performance
1;Lenovo;Lenovo Tab P11 Plus;https://www.gsmarena.com/lenovo_tab_p11_plus-10990.php;N/A;N/A;20W wired;N/A;N/A;Li-Po 7700 mAh;Stylus support;N/A;258.4 x 163 x 7.5 mm (10.17 x 6.42 x 0.30 in);Nano-SIM (cellular model only);490 g (1.08 lb);5.1, A2DP, LE;No;GPS, GLONASS, BDS - cellular model only;FM radio;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;1200 x 2000 pixels, 5:3 ratio (~212 ppi density);11.0 inches, 344.4 cm2 (~81.8% screen-to-body ratio);IPS LCD, 400 nits (typ);N/A;Accelerometer, gyro, proximity;2021, June 28;Available. Released 2021, July 29;N/A;N/A;LED flash;13 MP, (wide), AF;1080p@30fps;N/A;microSDXC (dedicated slot);64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM;Slate Grey, Platinum Grey, Modernist teal;ZA940124SE;About 300 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41;N/A;N/A;N/A;HSPA, LTE - cellular model only;GSM / HSPA / LTE;Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek MT6785 Helio G90T (12 nm);Mali-G76 MC4;Android 11;8 MP, (wide);1080p@30fps;N/A;No;Yes, with stereo speakers (4 speakers);N/A
2;Lenovo;Lenovo Pad Pro 2022;https://www.gsmarena.com/lenovo_pad_pro_2022-11783.php;N/A;N/A;30W wired, QC3;N/A;N/A;Li-Po 8200 mAh;Stylus support (magnetic);Glass front, aluminum frame, aluminum back;6.8 mm thickness;No;480 g (1.06 lb);Yes;No;GPS;No;USB Type-C 3.2, OTG, magnetic connector, video output;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;N/A;1536 x 2560 pixels, 5:3 ratio (~267 ppi density);11.2 inches, 357.0 cm2;OLED, HDR10+, Dolby Vision, 120Hz, 420 nits (typ), 600 nits (peak);N/A;Unspecified;2022, August 19;Available. Released 2022, August 19;N/A;N/A;LED flash;13 MP, (wide), AF;1080p@30fps;N/A;microSDXC (dedicated slot);128GB 6GB RAM, 128GB 8GB RAM;Gray, Gold;N/A;About 320 EUR;N/A;N/A;N/A;N/A;N/A;No;No;N/A;No cellular connectivity;Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55);Mediatek MT8797 Kompanio 1300T (6 nm);Mali-G77 MC9;Android 12, ZUI 14;8 MP;1080p@30fps;Tuned by JBL;No;Yes, with stereo speakers (4 speakers);N/A
3;Lenovo;Lenovo Tab P12 Pro;https://www.gsmarena.com/lenovo_tab_p12_pro-11090.php;N/A;N/A;45W wired, QC4;N/A;N/A;Li-Po 10200 mAh;Stylus support;N/A;285.6 x 184.5 x 5.6 mm (11.24 x 7.26 x 0.22 in);Nano-SIM (cellular model only);565 g (1.25 lb);5.2, A2DP, LE;Yes (wireless charging and data transfer only);GPS, GLONASS, BDS - cellular model only;Unspecified;USB Type-C 3.1;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;N/A;1600 x 2560 pixels, 16:10 ratio (~240 ppi density);12.6 inches, 460.3 cm2 (~87.4% screen-to-body ratio);AMOLED, 120Hz, HDR10+, Dolby Vision, 600 nits (HBM);N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity;2021, September 08;Available. Released 2021, November 19;N/A;"13 MP, (wide), AF
5 MP, (ultrawide)";N/A;N/A;4K@30fps, 1080p@30fps;N/A;microSDXC (dedicated slot);128GB 6GB RAM, 256GB 8GB RAM;Storm Grey;TB-Q706Z, TB-Q706F;About 520 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 19, 20, 26, 28, 34, 38, 39, 40, 41;1, 3, 7, 8, 20, 28, 38, 41, 77, 78 SA/NSA/Sub6;N/A;N/A;HSPA, LTE, 5G - cellular model only;GSM / HSPA / LTE / 5G;Octa-core (1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585);Qualcomm SM8250-AC Snapdragon 870 5G (7 nm);Adreno 650;Android 11;"8 MP, (wide)
8 MP, IR TOF 3D, (biometrics sensor only)";1080p@30fps;JBL speakers;No;Yes, with stereo speakers (4 speakers);N/A
4;Lenovo;Lenovo Yoga Tab 11;https://www.gsmarena.com/lenovo_yoga_tab_11-10988.php;N/A;N/A;20W wired;N/A;N/A;Li-Po 7700 mAh;"Built-in stainless steel kickstand
Stylus support";Glass front, aluminum frame, aluminum back;256.8 mm x 169 mm x 7.9-8.3 mm;Nano-SIM (cellular model only);655 g (1.44 lb);5.0, A2DP, LE;No;GPS, GLONASS - cellular model only;No;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;1200 x 2000 pixels, 5:3 ratio (~212 ppi density);11.0 inches, 344.4 cm2 (~79.4% screen-to-body ratio);IPS LCD, Dolby Vision, 400 nits;N/A;Face recognition, accelerometer, gyro;2021, June 28;Available. Released 2021, June 31;N/A;N/A;N/A;8 MP, AF;1080p@30fps;N/A;microSDXC;128GB 4GB RAM, 256GB 8GB RAM;Storm Gray;N/A;About 350 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;LTE;N/A;N/A;N/A;HSPA, LTE - cellular model only;GSM / HSPA / LTE;Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek MT6785 Helio G90T (12 nm);Mali-G76 MC4;Android 11;"8 MP
TOF 3D, (biometrics sensor)";1080p@30fps;Tuned by JBL;No;Yes, with stereo speakers (4 speakers);N/A
5;Lenovo;Lenovo Legion Tab;https://www.gsmarena.com/lenovo_legion_tab-13266.php;N/A;N/A;45W wired;N/A;N/A;Li-Po 6550 mAh;N/A;N/A;208.5 x 129.5 x 7.6 mm (8.21 x 5.10 x 0.30 in);No;350 g (12.35 oz);5.3, A2DP, LE;No;No;Unspecified;2x USB Type-C 3.1 Gen2, DisplayPort 1.4;Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct;N/A;1600 x 2560 pixels, 16:10 ratio (~343 ppi density);8.8 inches, 224.5 cm2 (~83.2% screen-to-body ratio);IPS LCD, 144Hz, Dolby Vision, HDR10, 500 nits (typ);N/A;Accelerometer, gyro, proximity, compass;2024, August 13;Available. Released 2024, August 15;N/A;"13 MP, (wide)
2 MP, (macro)";LED flash;N/A;1080p@30fps;UFS 3.1;microSDXC (dedicated slot);256GB 12GB RAM;Storm Grey;ZACW0029IN;About 380 EUR;N/A;N/A;N/A;N/A;N/A;No;No;N/A;No cellular connectivity;Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510);Qualcomm SM8475P Snapdragon 8+ Gen 1 (4 nm);Adreno 730;Android 13;8 MP;1080p@30fps;Tuned by JBL;No;Yes, with stereo speakers;N/A
6;Lenovo;Lenovo Tab P12;https://www.gsmarena.com/lenovo_tab_p12-12443.php;N/A;N/A;30W wired, QC4;N/A;N/A;Li-Po 10200 mAh;Stylus support;N/A;293.3 x 190.7 x 6.9 mm (11.55 x 7.51 x 0.27 in);No;615 g (1.36 lb);5.1, A2DP, LE;No;No;No;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;N/A;1840 x 2944 pixels, 16:10 ratio (~273 ppi density);12.7 inches, 467.7 cm2 (~83.6% screen-to-body ratio);IPS LCD;N/A;Fingerprint (side-mounted), accelerometer, gyro, compass;2023, July 28;Available. Released 2023, July 28;N/A;N/A;LED flash;8 MP, (wide), AF;4K@30fps, 1080p@30fps;UFS 2.2;microSDXC (dedicated slot);128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM;Storm Grey, Oat;N/A;About 400 EUR;N/A;N/A;N/A;N/A;N/A;No;No;N/A;No cellular connectivity;Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 7050 (6 nm);Mali-G68 MC4;Android 13;13 MP, (ultrawide);1080p@30fps;JBL speakers;No;Yes, with stereo speakers (4 speakers);N/A
7;Lenovo;Lenovo Legion Y700 (2025);https://www.gsmarena.com/lenovo_legion_y700_(2025)-13438.php;N/A;N/A;"68W wired
Bypass charging";N/A;N/A;Li-Po 6550 mAh;N/A;Glass front, aluminum frame, aluminum back;208.5 x 129.5 x 7.8 mm (8.21 x 5.10 x 0.31 in);No;350 g (12.35 oz);5.4, A2DP, LE;No;No;Unspecified;1x USB Type-C & 1x USB Type-C 3.1 Gen2, DisplayPort 1.4;Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band or tri-band, Wi-Fi Direct;N/A;1600 x 2560 pixels, 16:10 ratio (~343 ppi density);8.8 inches, 224.5 cm2 (~83.2% screen-to-body ratio);IPS LCD, 165Hz, Dolby Vision, HDR10, 500 nits (typ), 900 nits (HBM);N/A;Accelerometer, gyro, proximity, compass;2024, October 16;Available. Released 2024, October;N/A;"13 MP, (wide)
2 MP, (macro)";LED flash;N/A;1080p@30fps;UFS 4.0;No;256GB 12GB RAM, 512GB 16GB RAM;Eclipse Black;N/A;About 500 EUR;N/A;N/A;N/A;N/A;N/A;No;No;N/A;No cellular connectivity;Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520);Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm);Adreno 750;Android 14, up to 3 major Android upgrades;8 MP;1080p@30fps;Tuned by JBL;No;Yes, with stereo speakers;N/A
8;Lenovo;Lenovo Yoga Smart Tab;https://www.gsmarena.com/lenovo_yoga_smart_tab-9959.php;N/A;N/A;10W wired;N/A;N/A;Li-Po 7000 mAh, non-removable;Built-in 3-stage kickstand;N/A;242mm x 166mm x 8.5-24mm;No;580 g (1.28 lb);4.2, A2DP;No;No;No;USB Type-C 2.0;Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct;N/A;1200 x 1920 pixels, 16:10 ratio (~224 ppi density);10.1 inches, 295.8 cm2 (~73.6% screen-to-body ratio);IPS LCD;N/A;Accelerometer;2019, October. Released 2019, October;Discontinued;N/A;N/A;N/A;8 MP, AF;1080p@30fps;eMMC 5.1;microSDXC (dedicated slot);64GB 4GB RAM;Iron Grey;YT-X705X;About 320 EUR;N/A;N/A;N/A;N/A;N/A;No;No;N/A;No cellular connectivity;Octa-core (4x1.95 GHz Cortex-A53 & 4x1.45 GHz Cortex A53);Qualcomm SDM439 Snapdragon 439 (12 nm);Adreno 505;Android 9.0 (Pie);5 MP;1080p@30fps;N/A;Yes;Yes, with stereo speakers;N/A
9;Lenovo;Lenovo M10 FHD REL;https://www.gsmarena.com/lenovo_m10_fhd_rel-10049.php;N/A;N/A;N/A;N/A;N/A;Li-Po 7000 mAh;N/A;N/A;-;Yes - cellular model only;520 g (1.15 lb);4.2, A2DP;No;GPS - cellular model only;FM radio;microUSB 2.0;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;1200 x 1920 pixels, 16:10 ratio (~224 ppi density);10.1 inches, 295.8 cm2;IPS LCD, 320 nits (typ);N/A;Accelerometer;2020, January 24;Available. Released 2020, January 24;N/A;N/A;N/A;8 MP, AF;1080p@30fps;eMMC 5.1;microSDXC (dedicated slot);32GB 3GB RAM;Black;TB-X605FC, TB-X605LC, ZA4Y0079IN, TB-X605M, TB-X605L;About 180 EUR;N/A;N/A;N/A;LTE;N/A;No;No;HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps - cellular model only;LTE;Octa-core 1.8 GHz Cortex-A53;Qualcomm SDM450 Snapdragon 450 (14 nm);Adreno 506;Android 9.0 (Pie);5 MP;;N/A;Yes;Yes, with stereo speakers;N/A
10;Lenovo;Lenovo Tab M7 (3rd Gen);https://www.gsmarena.com/lenovo_tab_m7_(3rd_gen)-10992.php;N/A;N/A;N/A;N/A;N/A;Li-Po 3750 mAh;N/A;Glass front, aluminum back, aluminum frame;176.2 x 102.3 x 8.3 mm (6.94 x 4.03 x 0.33 in);Nano-SIM (cellular model only);237 g (8.36 oz);5.0, A2DP, LE;No;GPS - cellular model only;FM radio;microUSB 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;600 x 1024 pixels, 16:9 ratio (~170 ppi density);7.0 inches, 137.9 cm2 (~76.5% screen-to-body ratio);TDDI IPS LCD, 350 nits (typ);N/A;Accelerometer;2021, June 28;Available. Released 2021, June 31;N/A;N/A;N/A;2 MP;720p;eMMC 5.1;microSDHC (dedicated slot);32GB 2GB RAM;Iron Grey;ZA8C0027US, TB-7306X;About 120 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 19, 20, 28, 38, 40, 41;N/A;N/A;N/A;HSPA, LTE - cellular model only;GSM / HSPA / LTE;Octa-core 2.0 GHz;Mediatek MT8166 - Wi-Fi versionMediatek MT8766 - LTE version;N/A;Android 11 (Go edition);2 MP;720p;N/A;Yes;Yes;N/A
